# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
2.0750  84.1052
2.1115  90.1543
2.8642  101.3740
4.1596  106.0550
4.4437  112.3234
7.1911  146.7290
11.0775  173.7217
11.8609  186.8610
12.0112  189.5192
17.2570  206.1020
17.5873  218.4293
18.7469  221.8338
20.2346  221.0717
22.9693  230.8216
24.0893  224.7429
25.7202  236.5462
29.6978  245.7398
30.0267  247.0807
36.2170  256.2819
36.2954  255.6922
36.6144  253.4842
36.9417  256.5734
38.9504  262.0677
42.5451  259.4433
44.2356  262.6426
45.2452  260.7447
