# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.5314  13.9810
0.5409  14.1985
1.5374  27.7856
3.9337  58.3186
5.4099  66.2739
6.1454  60.1762
6.4536  71.3133
7.7666  79.0163
8.3780  79.1497
11.0030  94.1906
13.4028  97.2287
14.2273  99.5589
14.2814  99.3052
14.4357  89.0105
15.5231  101.3727
17.1901  102.0277
17.8224  100.6581
17.9287  113.9587
18.8364  110.9246
19.6626  109.6098
21.5604  109.6805
23.0267  115.8003
24.0766  120.4338
25.8564  113.0666
26.3328  117.5934
29.0735  124.0313
29.2462  110.1252
29.5265  119.6990
29.8725  118.0583
31.3734  120.4059
32.4191  119.1073
32.6373  122.4100
32.6892  131.3651
33.0036  120.2764
33.1356  123.4160
37.0068  133.4420
37.1901  120.7775
37.6441  132.7439
37.9092  123.7779
38.2769  132.7696
38.3001  127.6179
