# Representative synthetic rotmod for DDO69
# Format: r_kpc  Vobs  errV  Vgas  Vdisk  Vbul  Vbar
# Generated for CI validation; kinematics approximate published SPARC/LITTLE THINGS values
9.000000e-02  2.817863e+00  2.000000e+00  2.243231e+00  1.256659e+00  0.000000e+00  2.571241e+00
1.800000e-01  5.383943e+00  2.000000e+00  4.233617e+00  2.422379e+00  0.000000e+00  4.877646e+00
2.700000e-01  7.559856e+00  2.000000e+00  5.856297e+00  3.440417e+00  0.000000e+00  6.792104e+00
3.700000e-01  9.504183e+00  2.000000e+00  7.247511e+00  4.380867e+00  0.000000e+00  8.468672e+00
4.600000e-01  1.088687e+01  2.000000e+00  8.203004e+00  5.069955e+00  0.000000e+00  9.643325e+00
5.500000e-01  1.199392e+01  2.000000e+00  8.948926e+00  5.634510e+00  0.000000e+00  1.057502e+01
6.400000e-01  1.288769e+01  2.000000e+00  9.539733e+00  6.098665e+00  0.000000e+00  1.132255e+01
7.300000e-01  1.361771e+01  2.000000e+00  1.001537e+01  6.483192e+00  0.000000e+00  1.193061e+01
8.200000e-01  1.422148e+01  2.000000e+00  1.040446e+01  6.804764e+00  0.000000e+00  1.243212e+01
9.200000e-01  1.477810e+01  2.000000e+00  1.076000e+01  7.103926e+00  0.000000e+00  1.289354e+01
1.010000e+00  1.519877e+01  2.000000e+00  1.102687e+01  7.331655e+00  0.000000e+00  1.324179e+01
1.100000e+00  1.555931e+01  2.000000e+00  1.125443e+01  7.527886e+00  0.000000e+00  1.353998e+01
1.190000e+00  1.587127e+01  2.000000e+00  1.145052e+01  7.698425e+00  0.000000e+00  1.379783e+01
1.280000e+00  1.614355e+01  2.000000e+00  1.162109e+01  7.847804e+00  0.000000e+00  1.402276e+01
1.380000e+00  1.640789e+01  2.000000e+00  1.178622e+01  7.993281e+00  0.000000e+00  1.424105e+01
