# Representative synthetic rotmod for DDO75
# Format: r_kpc  Vobs  errV  Vgas  Vdisk  Vbul  Vbar
# Generated for CI validation; kinematics approximate published SPARC/LITTLE THINGS values
1.000000e-01  6.068410e+00  4.000000e+00  4.398307e+00  2.429490e+00  0.000000e+00  5.024691e+00
2.100000e-01  1.230646e+01  4.000000e+00  8.859824e+00  4.973458e+00  0.000000e+00  1.016030e+01
3.100000e-01  1.731757e+01  4.000000e+00  1.236624e+01  7.082653e+00  0.000000e+00  1.425089e+01
4.100000e-01  2.161390e+01  4.000000e+00  1.530346e+01  8.956241e+00  0.000000e+00  1.773161e+01
5.200000e-01  2.555424e+01  4.000000e+00  1.793684e+01  1.073884e+01  0.000000e+00  2.090581e+01
6.200000e-01  2.851628e+01  4.000000e+00  1.987825e+01  1.212411e+01  0.000000e+00  2.328388e+01
7.200000e-01  3.098980e+01  4.000000e+00  2.147529e+01  1.331249e+01  0.000000e+00  2.526679e+01
8.300000e-01  3.325428e+01  4.000000e+00  2.291910e+01  1.442621e+01  0.000000e+00  2.708137e+01
9.300000e-01  3.498001e+01  4.000000e+00  2.400844e+01  1.529149e+01  0.000000e+00  2.846462e+01
1.030000e+00  3.645143e+01  4.000000e+00  2.493025e+01  1.604036e+01  0.000000e+00  2.964474e+01
1.140000e+00  3.783301e+01  4.000000e+00  2.579030e+01  1.675258e+01  0.000000e+00  3.075367e+01
1.240000e+00  3.891401e+01  4.000000e+00  2.645978e+01  1.731577e+01  0.000000e+00  3.162208e+01
1.450000e+00  4.076745e+01  4.000000e+00  2.760115e+01  1.829291e+01  0.000000e+00  3.311275e+01
1.650000e+00  4.214386e+01  4.000000e+00  2.844396e+01  1.902738e+01  0.000000e+00  3.422134e+01
1.860000e+00  4.329930e+01  4.000000e+00  2.914863e+01  1.964928e+01  0.000000e+00  3.515304e+01
2.070000e+00  4.423750e+01  4.000000e+00  2.971910e+01  2.015756e+01  0.000000e+00  3.591033e+01
2.270000e+00  4.497947e+01  4.000000e+00  3.016928e+01  2.056146e+01  0.000000e+00  3.650971e+01
2.480000e+00  4.563633e+01  4.000000e+00  3.056715e+01  2.092036e+01  0.000000e+00  3.704068e+01
2.520000e+00  4.574962e+01  4.000000e+00  3.063571e+01  2.098238e+01  0.000000e+00  3.713229e+01
