galaxy,a_residual,v_last
SYN000,0.5602152732406793,238.9681331101101
SYN001,0.08753492627536179,148.4971787330541
SYN002,0.1849850290153427,261.8214383760733
SYN003,0.09622345860884661,218.28936784602826
SYN004,0.14782479731598971,55.42788392966537
SYN005,0.4627638788500578,293.4180349419241
SYN006,0.21841560088916404,235.5077195373953
SYN007,0.11621389088039832,242.23736242477753
SYN008,-0.05908150153128855,64.59068082239739
SYN009,0.24919312140550828,151.60420323180313
SYN010,0.2416035922233133,130.11546654279692
SYN011,0.3616996872349017,280.2265469891225
SYN012,0.10401712632847528,203.84358242177942
SYN013,0.28696983404313203,252.1456355831241
SYN014,0.16722470505448864,149.7218336833794
SYN015,0.12415774439124169,91.35445488188975
SYN016,0.31045220918650385,179.7378924942754
SYN017,0.08076999146432967,47.23065914812734
SYN018,0.3552974508987814,253.46041643799717
SYN019,0.21068624818629125,200.5493877629575
SYN020,0.2780515996265486,234.68368982305094
SYN021,0.2204152452708455,125.72201139506446
SYN022,0.07351509360827393,292.0884665866239
SYN023,0.2231920203033982,271.14270275699334
SYN024,0.16960764606599638,240.1635442099157
SYN025,-0.013279226116470047,82.55245112003124
SYN026,0.11474333332229666,156.01467100629924
SYN027,0.26606821344771114,41.82701676255177
SYN028,-0.058216504495748556,71.65816285823792
SYN029,0.3596649705641849,214.42321737546274
