galaxy,logMbar,env_proxy,slope_tail
G0000,8.38523996531185,-0.0888783246341693,0.7727408120954845
G0001,8.462460586093396,-0.01412332323964933,0.7699637347812125
G0002,8.536394208869448,0.15581987583999957,1.0336575106789763
G0003,8.607309276711176,0.13909268693505938,0.936178820711368
G0004,8.675442633906297,-0.0218104787796853,1.2362356897038167
G0005,8.741004298658973,0.03594314448106363,0.7632216387790491
G0006,8.804181367391902,0.03259870919659804,0.9248356583618608
G0007,8.865141233618848,-0.15708664712138115,1.2088900919136694
G0008,8.924034260901674,0.06609098720666576,1.285798745662026
G0009,8.980996017360114,-0.05326460841700159,0.8064508274830183
G0010,9.036149155302649,0.09128955989008278,0.9922892375595281
G0011,9.089605001534574,-0.12326774823829162,1.3230927202066236
G0012,9.141464910192045,0.15534116171899176,0.9304445709343907
G0013,9.191821419424127,-0.06608246403417509,1.2359304974433025
G0014,9.240759245092173,-0.1479071653100291,0.8429182496127086
G0015,9.288356138291004,-0.002015281317080956,1.0184101312328637
G0016,9.334683628490264,-0.08301063306282451,1.0548211428955432
G0017,9.379807670129022,0.08858099347815694,0.833348398679086
G0018,9.423789207334874,0.050532858236287115,0.9145498843904033
G0019,9.466684668901966,-0.15062124884970543,0.9673820521531017
G0020,9.508546403614627,0.027213050204497147,0.9124331944867289
G0021,9.54942306434137,0.11530791904634982,1.1737547564409236
G0022,9.589359947967774,0.1333887159114108,1.0205595804796863
G0023,9.6283992971244,-0.03500925024971808,0.963692736213343
G0024,9.666580568749321,-0.04193237470387995,0.9961070776825184
G0025,9.703940673765894,0.07868324675598434,0.9564885098669165
G0026,9.740514191525374,0.04198225193456913,1.3439852350275474
G0027,9.77633356213708,-0.011407704416726549,1.1247456474249977
G0028,9.811429259367099,0.04276505350795132,1.1340457884750998
G0029,9.84582994641477,-0.2000010674424658,0.9959558737258956
G0030,9.879562616562222,-0.030187733234358187,1.0020779653324936
G0031,9.91265272042618,0.10743059012667681,0.7985760965819346
G0032,9.945124281314898,-0.05858625836856456,1.0027649305037563
G0033,9.977,0.04739275574502872,0.9217066328675607
G0034,10.008301350047827,0.03170155576178676,0.8722036794041154
G0035,10.03904866471299,-0.0019152599958500726,0.858257833408327
G0036,10.069261216274773,-0.10696172195629736,1.1542183967574786
G0037,10.098957288591603,0.11548837100197734,0.8878233387144709
