0.546 150.5 7.47 12.956 25.879 4.99 11.94 9.44
1.368 162.12 8.02 8.632 21.517 1.786 42.36 9.58
1.804 156.06 9.48 6.708 18.449 1.035 55.07 2.9
2.945 156.29 5.29 4.068 13.289 0.249 86.02 5.5
4.712 163.22 9.27 1.323 7.928 0.027 70.14 1.32
4.912 158.92 4.44 1.759 8.191 0.021 68.63 6.18
7.144 151.04 8.79 0.457 4.292 0.001 48.21 6.55
9.045 152.67 7.26 0.149 2.525 0.0 56.51 3.62
12.03 161.5 7.88 0.0 1.351 0.0 50.02 9.84
14.726 155.87 8.51 0.133 1.244 0.0 13.06 8.52
15.487 157.07 6.78 0.0 0.103 0.0 93.51 8.1
22.471 156.05 3.95 0.123 0.01 0.0 86.22 0.07
24.447 149.99 9.68 0.0 0.429 0.0 95.21 6.99
