# NGC0003 synthetic rotmod fixture (Motor-de-Velos-SCM test data)
# Columns: Rad Vobs eVobs Vgas Vdisk Vbul
Rad Vobs eVobs Vgas Vdisk Vbul
0.20  20.0  1.5   8.0  14.0  2.0
0.50  32.0  2.0  10.0  22.0  2.0
1.00  48.0  2.5  12.0  32.0  1.5
2.00  60.0  3.0  14.0  40.0  1.0
3.50  68.0  3.5  15.0  44.0  0.8
5.50  72.0  4.0  14.0  42.0  0.5
8.00  70.0  4.5  11.0  36.0  0.3
12.0  64.0  5.0   7.0  24.0  0.0
18.0  55.0  6.0   4.0  14.0  0.0
26.0  44.0  7.0   2.0   5.0  0.0
36.0  35.0  8.0   1.0   2.0  0.0
