1.122 137.28 5.39 10.087 38.372 2.071 90.49 7.4
1.62 139.67 4.48 7.836 32.639 1.111 18.87 9.49
2.358 139.31 9.49 5.488 26.622 0.441 92.85 3.45
2.538 135.69 7.72 5.239 25.209 0.353 26.52 2.61
3.432 151.48 10.0 3.189 20.063 0.115 96.1 8.56
4.715 134.16 3.42 1.739 13.065 0.023 59.56 4.39
5.525 134.07 6.77 1.353 10.342 0.008 46.11 2.82
8.648 134.37 4.03 0.399 3.959 0.0 35.65 2.39
11.418 138.38 6.83 0.468 3.064 0.0 76.85 7.23
14.49 131.18 8.38 0.183 0.749 0.0 44.79 8.72
16.599 128.56 8.94 0.0 0.051 0.0 75.48 4.2
18.253 141.99 9.37 0.342 0.378 0.0 87.39 1.04
20.483 135.23 3.9 0.105 0.01 0.0 17.57 5.73
24.425 132.11 5.54 0.037 0.122 0.0 97.58 3.42
