galaxy,slope_tail,Rmax,Vmax,n_outer,outer_fit_ok,logMbar,Mgas
UGC10000,0.055013333282428606,24.1535,250.9107,8,True,10.547771427519283,2.242044402474421
UGC10001,0.12617630815027825,31.2034,195.9947,14,True,9.532689474227263,2.137456270635988
UGC10002,-0.05696478212322048,19.0338,228.7019,4,True,10.11049714187575,1.3542289437812536
UGC10003,-0.032597265603255404,12.315,96.0865,12,True,9.079898814372399,0.6348055841521012
UGC10004,-0.08814437504594942,14.27,133.0126,7,True,9.796413472136068,4.233517262828989
UGC10005,0.0772763136951792,46.5859,245.9129,12,True,9.961091621715005,1.9782671316093083
UGC10006,-0.027287524738034013,46.5003,282.344,7,True,11.050188579417618,0.3804365067509759
UGC10007,0.08497094204392916,45.8313,335.274,12,True,10.018674507359952,3.1674611566111803
UGC10008,0.028041699235133475,37.9801,124.7786,16,True,9.82473547224874,3.0325382386329096
UGC10009,0.045064345989082974,17.2621,303.6399,16,True,9.834489479063008,1.4466427486998286
UGC10010,0.0464104033596063,8.8058,154.6737,12,True,11.031072428179165,1.3757078627347257
UGC10011,-0.006510311250995834,14.8249,303.4073,4,True,9.196493268500296,0.9108900121506976
UGC10012,0.06430782052128894,37.9738,304.8236,11,True,9.763381836022463,0.7424325958284773
UGC10013,0.2151403153710947,35.2574,128.0461,11,True,11.361885723136371,0.9015267007795388
UGC10014,0.05225382969545373,16.2866,171.8429,13,True,9.781853947939817,3.164842968878288
UGC10015,0.04425733881350779,47.866,284.5209,10,True,10.001654802667476,3.1363757772523213
UGC10016,0.17818201336064002,8.1293,262.8043,7,True,11.101715444456268,4.133310588755464
UGC10017,0.21017246059567468,41.4645,187.5097,14,True,9.502032383335205,2.0661983245119555
UGC10018,0.15850337296905623,30.3037,178.2717,6,True,9.901810186137299,2.8688817620904574
UGC10019,0.029608236069384716,12.0135,305.0594,12,True,10.647813754634992,2.466398108411741
UGC10020,-0.09596856111894383,20.7936,267.4885,11,True,9.805544761550799,3.751498829626953
UGC10021,0.28840762714249374,13.3369,295.2598,9,True,9.55577446726899,2.438283103086331
