galaxy,logMbar,delta_mass_std,slope_tail,regime
G000,9.660934072833944,-0.7563349907429378,-0.1215148527858869,low
G001,9.15831765962808,0.012659863241266,-0.0119029291864463,low
G002,9.787896879867072,0.3885248712857729,-0.2354505292673068,low
G003,9.546052043589048,0.1622332184418047,-0.1182920617846571,low
G004,8.641266021831473,-0.6004486966798848,-0.0248819212065326,low
G005,9.963433527455134,0.6082490523645254,-0.2118693079440476,low
G006,9.64170955298553,0.4308142592316033,-0.0586449524885177,low
G007,9.679096457915431,0.4779680078310835,-0.2823851882133302,low
G008,8.692170449013318,-0.7378844968853735,-0.2226107693130143,low
G009,9.17557890684335,-0.7524923926993108,-0.2263475787996658,low
G010,9.056197036348872,0.8551251020130153,-0.3891679291178079,low
G011,9.890147483272903,-0.2048436123501187,-0.0526055038428836,low
G012,9.465797680120996,-0.3981026164381205,-0.2438804680405447,low
G013,9.734142419906243,-0.0228319092969333,-0.1475011762544625,low
G014,9.165121298240996,0.3257284255271648,-0.0538506682188182,low
G015,8.840858082677165,0.91124651409394,-0.0606937647940111,low
G016,9.331877180523753,-0.42710754623589,-0.0169229782054427,low
G017,8.595725884156263,0.8496168586240542,-0.1696970969018847,low
G018,9.741446757988871,-0.9502810172274874,-0.2346596624088307,low
G019,9.447496598683095,0.1103960846536493,-0.1659436421812798,low
G020,9.63713161012806,0.2679502233621702,-0.487466886791606,low
G021,9.031788952194802,-0.7882051924984934,-0.4394224944846174,low
G022,11.458977234152863,-1.3226996123544024,0.1833559488908454,high
G023,11.350369569851075,-0.9972468276014818,-0.2650874528498801,high
G024,11.189736895903266,0.3997742267234366,-0.9398054458987738,high
G025,10.372494190992754,-0.9054790553600608,-0.0728794470213141,high
G026,10.753409405217848,-0.3781625540393897,-0.0580642541155112,high
G027,10.16132527210212,1.2992282977860654,0.1674034760961336,high
G028,10.316005288894567,-0.3562639710614259,0.0089889999075821,high
G029,11.056268534539436,0.7375155684670865,0.021841133869097,high
G030,11.142667018270943,-0.933617680009877,-0.0696329354126977,high
G031,11.454513625407897,-0.20543755786763,-0.5623462392065208,high
G032,10.556155501393413,-0.9500220549105812,-0.2510400884197744,high
G033,10.618643588448816,-0.3390330759005625,-0.3383805030441325,high
G034,10.75737813578613,0.8403081374573955,0.4492954517368471,high
G035,10.365259902718,-1.727320423192349,0.03964145526795,high
G036,10.28189010746966,0.4344236435458573,0.0550685884307808,high
G037,10.765986896716306,0.2377356023322779,-0.5824915519344939,high
G038,10.417673088671238,-0.5941499556967944,0.4008741918587359,high
G039,11.037739592555514,-1.4460578543884546,0.4377977427588816,high
G040,10.712012686421264,0.0721295077138695,-0.234294011377397,high
G041,11.265749474480971,-0.5294927090638024,-0.0074571977350328,high
G042,11.080371142803148,0.2326762113547039,-0.4817179415781674,high
G043,10.537313297934856,0.0218521455234428,0.0218732369357993,high
G044,11.265163721953282,1.6017788913209154,-0.8125270595325866,high
G045,11.226670100495522,-0.2393556274730242,-0.568435617264992,high
G046,10.642469730642244,-1.023497492621865,-0.3541257819412883,high
G047,10.503659345502342,0.1792756349563161,-0.134747523398047,high
G048,11.055493705564963,0.2199966839717651,0.4156374973726444,high
G049,10.295653477053031,1.3591875752404363,-0.4937596271427556,high
G050,10.379871483465152,0.8351112459145785,-0.4479887042183266,high
G051,10.110307177651409,0.3568710591495093,-0.1427308619038356,high
G052,11.201694128502991,1.4633028912195618,-0.0665901706831386,high
G053,11.030791199228846,-1.188763054322851,0.2943819168423978,high
G054,11.087231530076869,-0.6397515327497477,-0.1224454325085706,high
G055,11.193020643430756,-0.9265759414055248,0.570488266445613,high
G056,10.742482085753675,-0.3898098031557679,0.1384455163313758,high
G057,10.896237674334053,-1.3766861475563088,0.8773082410652895,high
G058,10.29571579737872,0.6351509468144043,-0.2672515091555588,high
G059,10.260342102950364,-0.2222226970987733,-0.5731208035585682,high
G060,11.03576414650666,-1.470806294502658,-0.2560217913474687,high
G061,10.759534688600386,-1.0155790812075416,0.8150448972547624,high
G062,10.891330549073665,0.3135138474501953,0.4454121340782603,high
G063,11.170998400382436,0.8381265678943811,-0.4732456556813545,high
G064,10.988605648000828,1.9967308916917863,-0.9022941959619312,high
G065,10.875011160921192,2.9138624660073296,-0.439581022905318,high
G066,10.88289002504358,0.4144094332759964,-0.717141102800194,high
G067,10.525530137287657,-0.989538120031864,-0.2110293715727714,high
G068,10.143144968395116,-2.132046280731309,0.7469446020950105,high
G069,10.711404344925308,0.2677114623438358,-0.3881554878469865,high
G070,10.40041854194734,-0.812941095310326,0.0918335819050692,high
G071,10.67194010121449,-0.4153572601796853,-0.0907699813558994,high
G072,11.294764302575432,-0.6120967990598081,0.1686588592375158,high
G073,10.427515280211477,-0.1407908864163852,0.4552300104504023,high
G074,10.181623838364692,1.0659802307876436,-0.4335601064755948,high
G075,10.493937448830795,0.1570485674453446,0.0604609470771398,high
