upsilon_disk,scm_u_term
0.1,9.821953425649152
0.2,9.375714322691348
0.3,8.955948570897993
0.4,8.558412882152464
0.5,8.179899029478882
0.6,7.817909488022346
0.7,7.470453950680658
0.7999999999999999,7.135915550727485
0.8999999999999999,6.812959537395607
0.9999999999999999,6.500468969106488
1.0999999999999999,6.197498239976576
1.2,5.903238747343636
1.3,5.616993049664316
1.4,5.338155104818709
1.5,5.0661949587423845
1.5999999999999999,4.800646759764168
1.7,4.541099311379067
1.8,4.287188608431974
1.9,4.038591967709354
2.0,3.7950234890371175
