upsilon_disk,scm_u_term
0.1,11.692921195337394
0.2,10.790323789552952
0.3,9.995853184600618
0.4,9.278002613792319
0.5,8.618150778009014
0.6,8.004201635054219
0.7,7.427772396921741
0.7999999999999999,6.882772739022748
0.8999999999999999,6.364616353729878
0.9999999999999999,5.869751874597286
1.0999999999999999,5.395368600559859
1.2,4.93920433890374
1.3,4.499416458733348
1.4,4.074494496096988
1.5,3.66320232038434
1.5999999999999999,3.264544171307562
1.7,2.8777543576660847
1.8,2.502317702693715
1.9,2.138041905220663
2.0,1.7852371671408236
