upsilon_disk,scm_u_term
0.1,9.148634205954036
0.2,8.41053714670746
0.3,7.764910707571429
0.4,7.183821170250595
0.5,6.651116533573881
0.6,6.156455158170654
0.7,5.69274455674222
0.7999999999999999,5.254873671529147
0.8999999999999999,4.839020030788114
0.9999999999999999,4.442242634033311
1.0999999999999999,4.062229484060611
1.2,3.6971349370345536
1.3,3.3454728266174243
1.4,3.0060470899703
1.5,2.6779108497566058
1.5999999999999999,2.3603518405461643
1.7,2.0529100224802703
1.8,1.755447285967488
1.9,1.468321828890543
2.0,1.19280916535194
