upsilon_disk,scm_u_term
0.1,11.933224701040666
0.2,10.85066590290521
0.3,9.925363787800515
0.4,9.103892547492274
0.5,8.357631850993037
0.6,7.669126046558795
0.7,7.026801890288509
0.7999999999999999,6.422524744038505
0.8999999999999999,5.8503262197747175
0.9999999999999999,5.305683599082766
1.0999999999999999,4.785086014280761
1.2,4.285762254266075
1.3,3.8055072982305176
1.4,3.3425760766827897
1.5,2.8956325844488955
1.5999999999999999,2.4637616125949116
1.7,2.0465839799989927
1.8,1.6446050605581541
1.9,1.2602260127720328
2.0,0.9010890798289548
